# Port Scanning Threat Feed
# Generated: 2025-07-07T20:42:14.546384Z
# Total Threats: 32
# Risk Level: Medium
# Status: Active
#
# Format: IP_ADDRESS | COUNTRY | OFFENSES | LAST_SEEN | ISP
#
143.198.96.196 | United States | 1 | 2025-07-07 20:32:10.378312 | DigitalOcean, LLC
167.179.101.74 | Japan | 3 | 2025-07-07 20:11:13.466099 | The Constant Company, LLC
71.6.135.131 | United States | 1 | 2025-07-07 18:46:44.948813 | CariNet, Inc.
65.20.109.227 | Spain | 1 | 2025-07-07 18:16:36.474987 | The Constant Company, LLC
65.20.89.226 | India | 1 | 2025-07-07 17:50:05.308089 | The Constant Company
3.138.185.30 | United States | 1 | 2025-07-07 17:32:54.506007 | Amazon.com, Inc.
134.209.230.91 | Germany | 1 | 2025-07-07 17:04:29.395945 | DigitalOcean, LLC
193.32.162.157 | United Kingdom | 2 | 2025-07-07 16:43:34.820456 | Unmanaged LTD
64.176.227.10 | South Korea | 2 | 2025-07-07 16:23:39.341108 | The Constant Company, LLC
104.238.24.55 | Kazakhstan | 1 | 2025-07-07 15:38:43.261720 | Fastplanet LTD
51.159.103.10 | France | 1 | 2025-07-07 15:21:45.018180 | SCALEWAY
209.141.50.104 | United States | 1 | 2025-07-07 15:01:58.034510 | FranTech Solutions
193.32.162.141 | United Kingdom | 1 | 2025-07-07 14:49:54.952128 | Unmanaged LTD
135.222.40.73 | United States | 1 | 2025-07-07 14:36:03.871973 | Microsoft Corporation
31.14.32.6 | The Netherlands | 1 | 2025-07-07 13:49:26.317383 | NewVM B.V.
66.42.125.90 | United States | 1 | 2025-07-07 12:57:44.378457 | The Constant Company
193.174.89.19 | Germany | 1 | 2025-07-07 12:39:38.374666 | Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
195.178.110.160 | Andorra | 3 | 2025-07-07 12:16:10.284211 | Techoff SRV Limited
87.236.176.60 | United Kingdom | 1 | 2025-07-07 11:37:46.636960 | Driftnet Ltd
117.50.68.36 | China | 1 | 2025-07-07 09:44:53.328872 | UCLOUD
170.64.183.181 | Australia | 2 | 2025-07-07 08:23:00.710152 | DigitalOcean, LLC
143.198.77.209 | United States | 1 | 2025-07-07 06:42:04.449073 | DigitalOcean, LLC
20.14.81.42 | United States | 1 | 2025-07-07 06:28:29.781959 | Microsoft Corporation
64.176.165.127 | Israel | 1 | 2025-07-07 05:14:46.291119 | The Constant Company, LLC
14.53.61.63 | South Korea | 1 | 2025-07-07 03:36:08.592553 | Korea Telecom
205.210.31.50 | United States | 1 | 2025-07-07 03:24:16.612278 | Google LLC
193.32.162.151 | United Kingdom | 1 | 2025-07-07 02:57:58.259249 | Unmanaged LTD
193.32.162.146 | United Kingdom | 1 | 2025-07-07 02:41:21.349476 | Unmanaged LTD
155.138.155.23 | Canada | 1 | 2025-07-07 02:11:59.502849 | The Constant Company
136.244.116.222 | France | 1 | 2025-07-07 01:57:18.323279 | The Constant Company
20.65.193.129 | United States | 1 | 2025-07-07 01:44:41.256204 | Microsoft Corporation
144.217.0.58 | Canada | 2 | 2025-07-07 01:00:44.598607 | OVH Hosting
