ip,first_seen,last_seen,count,severity,signature,protocol,country
45.78.192.84,2025-07-25T20:12:44+00:00,2025-07-26T21:20:39+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 11",TCP,SG
45.135.193.2,2025-07-19T17:03:50.248000+00:00,2025-07-19T17:03:50.248000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 11",TCP,DE
46.165.220.198,2025-07-12T10:49:44.909000+00:00,2025-07-20T23:38:00.227000+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 12",TCP,DE
68.69.186.182,2025-08-01T14:10:41+00:00,2025-08-07T11:25:36+00:00,10,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 13",TCP,US
80.94.92.80,2025-07-18T03:59:29.063000+00:00,2025-07-18T04:13:20.669000+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 12",TCP,NL
80.94.92.94,2025-07-12T07:14:29.042000+00:00,2025-07-13T04:32:10.561000+00:00,4,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 13",TCP,
80.94.92.97,2025-07-14T08:57:46.111000+00:00,2025-07-14T10:16:02.602000+00:00,6,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 13",TCP,NL
80.94.92.103,2025-07-17T23:16:07.026000+00:00,2025-07-17T23:16:07.026000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 12",TCP,NL
80.94.93.119,2025-08-08T08:34:05+00:00,2025-08-08T10:01:26+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 14",TCP,GB
80.94.93.233,2025-08-08T07:10:22+00:00,2025-08-08T09:31:44+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 14",TCP,GB
80.94.95.15,2025-07-26T16:16:49+00:00,2025-08-06T14:59:47+00:00,13,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 12",TCP,BG
103.143.11.139,2025-07-21T01:58:38.095000+00:00,2025-07-21T02:09:10.729000+00:00,2,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 1",TCP,US
106.13.78.99,2025-07-25T05:05:29+00:00,2025-07-25T05:05:29+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 1",TCP,CN
111.32.36.226,2025-07-25T06:17:22+00:00,2025-07-25T06:17:22+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 1",TCP,CN
115.151.72.54,2025-07-19T10:46:58.112000+00:00,2025-07-19T10:46:58.112000+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 1",TCP,CN
125.17.108.32,2025-07-26T20:14:24+00:00,2025-07-26T20:14:24+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 4",TCP,IN
134.209.230.215,2025-07-28T09:44:23+00:00,2025-07-28T11:40:39+00:00,4,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 4",TCP,DE
137.74.131.208,2025-07-29T06:49:13+00:00,2025-07-31T15:00:07+00:00,3,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 4",TCP,FR
143.92.37.165,2025-07-31T18:37:23+00:00,2025-08-08T06:58:45+00:00,12,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 5",TCP,HK
148.178.22.9,2025-08-06T03:55:19+00:00,2025-08-06T03:55:19+00:00,1,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 5",TCP,US
148.178.22.13,2025-08-05T19:03:45+00:00,2025-08-07T02:57:45+00:00,10,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 5",TCP,US
148.178.22.14,2025-08-05T06:35:20+00:00,2025-08-06T06:11:25+00:00,5,high,"ET COMPROMISED Known Compromised or Hostile Host Traffic group 5",TCP,US
