# Compromised_Host Threat Feed
# Generated: 2026-09-02T21:16:57.570400+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 61
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

1.245.140.132 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 3 | KR | 2026-08-25 | 2026-08-26 | 4
2.57.122.53 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 9 | NL | 2026-08-11 | 2026-08-29 | 5
31.77.227.120 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 10 | FR | 2026-08-13 | 2026-08-18 | 2
35.187.231.181 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 15 | SG | 2026-08-29 | 2026-08-29 | 1
45.142.193.164 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | GB | 2026-08-11 | 2026-09-02 | 88
45.154.244.193 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 15 | NL | 2026-09-02 | 2026-09-02 | 1
45.198.224.26 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | SE | 2026-08-11 | 2026-08-29 | 56
51.38.71.171 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 16 | GB | 2026-08-21 | 2026-08-26 | 20
51.68.214.191 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | GB | 2026-08-20 | 2026-08-25 | 12
51.75.21.168 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | FR | 2026-08-23 | 2026-08-27 | 13
51.75.170.40 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | GB | 2026-08-23 | 2026-08-26 | 7
51.77.221.142 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | FR | 2026-08-17 | 2026-08-21 | 5
51.222.85.30 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 16 | CA | 2026-08-24 | 2026-08-25 | 7
59.120.178.166 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | TW | 2026-08-20 | 2026-08-27 | 24
61.73.27.69 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | KR | 2026-08-23 | 2026-08-27 | 22
61.85.36.35 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | KR | 2026-08-20 | 2026-08-24 | 4
62.60.130.201 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | IR | 2026-08-23 | 2026-08-23 | 1
62.60.130.242 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | IR | 2026-08-26 | 2026-08-30 | 2
62.60.130.253 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | IR | 2026-08-19 | 2026-08-31 | 4
64.89.163.251 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | DE | 2026-08-23 | 2026-08-23 | 3
66.116.243.130 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | IN | 2026-08-25 | 2026-08-28 | 20
66.154.115.247 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | US | 2026-08-21 | 2026-08-25 | 11
67.215.227.54 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | US | 2026-08-22 | 2026-08-23 | 15
77.239.124.102 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | NL | 2026-08-17 | 2026-08-17 | 1
79.72.3.119 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | SA | 2026-08-26 | 2026-08-26 | 1
81.252.32.241 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 17 | FR | 2026-08-29 | 2026-08-29 | 5
91.92.40.5 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | NL | 2026-08-14 | 2026-08-14 | 1
92.204.128.28 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | US | 2026-08-24 | 2026-08-27 | 13
92.218.122.20 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 18 | DE | 2026-08-16 | 2026-08-16 | 1
103.49.28.98 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | ID | 2026-08-25 | 2026-08-25 | 1
103.159.85.90 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | IN | 2026-08-23 | 2026-08-25 | 6
103.160.5.123 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | VN | 2026-08-11 | 2026-08-11 | 1
104.168.100.167 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | US | 2026-08-20 | 2026-08-27 | 18
107.150.97.10 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | US | 2026-09-02 | 2026-09-02 | 1
109.241.134.137 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 1 | PL | 2026-08-22 | 2026-08-22 | 1
113.20.8.90 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 2 | US | 2026-08-20 | 2026-08-27 | 31
119.148.49.82 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 3 | BD | 2026-08-14 | 2026-08-14 | 1
121.139.15.185 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 3 | KR | 2026-08-22 | 2026-08-24 | 2
154.16.115.34 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-20 | 2026-08-27 | 19
154.16.115.37 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 4 | US | 2026-08-27 | 2026-08-27 | 1
155.94.142.85 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-22 | 2026-08-25 | 9
158.51.96.38 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-14 | 2026-08-31 | 2
159.223.29.238 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | DE | 2026-08-20 | 2026-08-23 | 5
162.241.130.124 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-20 | 2026-08-27 | 21
162.241.235.82 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-23 | 2026-08-27 | 14
163.41.112.89 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 5 | US | 2026-08-24 | 2026-08-26 | 7
164.92.109.155 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 6 | US | 2026-08-19 | 2026-08-19 | 1
181.214.83.95 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | US | 2026-08-25 | 2026-08-27 | 12
189.219.16.249 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | MX | 2026-08-11 | 2026-08-17 | 4
192.227.221.227 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | US | 2026-08-11 | 2026-08-11 | 1
193.24.211.204 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | HK | 2026-08-23 | 2026-08-31 | 3
193.47.62.69 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | AD | 2026-08-26 | 2026-09-01 | 4
193.77.126.62 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 7 | SI | 2026-08-29 | 2026-08-29 | 3
195.178.110.218 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 8 | AD | 2026-08-17 | 2026-08-27 | 2
196.200.96.18 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 8 | ER | 2026-08-25 | 2026-08-25 | 1
198.23.232.204 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 8 | US | 2026-08-20 | 2026-08-25 | 10
207.244.224.200 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 8 | US | 2026-08-23 | 2026-08-24 | 4
213.209.159.230 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 9 | DE | 2026-08-29 | 2026-08-31 | 5
219.78.63.235 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 9 | HK | 2026-09-02 | 2026-09-02 | 1
220.86.129.106 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 9 | KR | 2026-08-23 | 2026-08-24 | 3
220.123.222.114 | HIGH | ET COMPROMISED Known Compromised or Hostile Host Traffic group 9 | KR | 2026-08-31 | 2026-08-31 | 1
