ip,first_seen,last_seen,count,severity,signature,protocol,country
1.92.192.2,2025-07-20T06:50:10.891000+00:00,2025-07-20T06:50:10.891000+00:00,1,low,"GPL DNS named version attempt",TCP,CN
8.219.94.62,2025-08-11T12:58:51+00:00,2025-08-11T12:58:51+00:00,1,low,"GPL DNS named version attempt",UDP,SG
20.65.194.2,2025-07-22T13:57:17.303000+00:00,2025-07-22T13:57:17.303000+00:00,1,low,"GPL DNS named version attempt",UDP,US
24.199.119.144,2025-08-07T05:29:18+00:00,2025-08-07T05:29:18+00:00,1,low,"GPL DNS named version attempt",TCP,US
31.57.67.10,2025-07-24T14:40:24+00:00,2025-07-24T14:40:24+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.25,2025-08-04T10:05:58+00:00,2025-08-04T10:05:58+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.29,2025-07-28T03:48:55+00:00,2025-07-28T03:48:55+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.31,2025-07-27T09:25:56+00:00,2025-07-27T09:25:56+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.48,2025-07-26T07:48:14+00:00,2025-07-26T07:48:14+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.50,2025-07-24T04:18:41+00:00,2025-07-24T04:18:41+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.56,2025-07-31T12:39:57+00:00,2025-07-31T12:39:57+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.64,2025-07-27T16:39:14+00:00,2025-07-27T16:39:14+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.69,2025-08-01T13:17:51+00:00,2025-08-01T13:17:51+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.70,2025-08-04T15:24:46+00:00,2025-08-04T15:24:46+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.74,2025-07-20T09:28:18.057000+00:00,2025-07-20T09:28:18.057000+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.80,2025-07-30T03:47:04+00:00,2025-07-30T03:47:04+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.57.67.85,2025-07-27T23:05:48+00:00,2025-07-27T23:05:48+00:00,1,low,"GPL DNS named version attempt",UDP,US
31.59.129.184,2025-08-01T14:39:24+00:00,2025-08-01T14:39:24+00:00,1,low,"GPL DNS named version attempt",UDP,NL
44.220.188.29,2025-08-10T21:11:44+00:00,2025-08-10T21:11:44+00:00,1,low,"GPL DNS named version attempt",UDP,US
45.61.187.239,2025-08-10T02:06:57+00:00,2025-08-10T02:06:57+00:00,1,low,"GPL DNS named version attempt",UDP,US
45.142.154.10,2025-07-22T00:09:57.593000+00:00,2025-07-29T10:21:01+00:00,2,low,"GPL DNS named version attempt",UDP,HK
45.142.154.52,2025-07-30T15:47:28+00:00,2025-07-30T15:47:28+00:00,1,low,"GPL DNS named version attempt",TCP,HK
45.156.128.81,2025-07-28T06:10:54+00:00,2025-07-28T06:10:54+00:00,1,low,"GPL DNS named version attempt",TCP,NL
45.156.129.91,2025-07-29T00:16:35+00:00,2025-07-29T00:16:35+00:00,1,low,"GPL DNS named version attempt",UDP,US
45.156.131.5,2025-07-24T09:09:41+00:00,2025-07-24T09:09:41+00:00,1,low,"GPL DNS named version attempt",UDP,US
46.101.110.154,2025-08-08T22:13:18+00:00,2025-08-08T22:13:18+00:00,1,low,"GPL DNS named version attempt",TCP,DE
46.203.124.14,2025-07-20T06:15:05.740000+00:00,2025-07-20T06:15:05.740000+00:00,1,low,"GPL DNS named version attempt",UDP,HK
46.203.124.23,2025-07-30T06:29:53+00:00,2025-07-30T06:29:53+00:00,1,low,"GPL DNS named version attempt",UDP,HK
46.203.124.30,2025-07-23T01:27:15+00:00,2025-07-23T01:27:15+00:00,1,low,"GPL DNS named version attempt",UDP,HK
