# DNS_Attack Threat Feed
# Generated: 2026-09-05T18:42:58.297117+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 123
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

2.57.17.19 | LOW | GPL DNS named version attempt | GB | 2026-08-31 | 2026-08-31 | 1
3.16.124.90 | LOW | GPL DNS named version attempt | US | 2026-09-02 | 2026-09-02 | 1
3.19.53.90 | LOW | GPL DNS named version attempt | US | 2026-08-23 | 2026-08-23 | 1
3.19.246.193 | LOW | GPL DNS named version attempt | US | 2026-08-20 | 2026-08-20 | 1
3.134.93.76 | LOW | GPL DNS named version attempt | US | 2026-08-16 | 2026-08-16 | 1
3.143.250.112 | LOW | GPL DNS named version attempt | US | 2026-08-29 | 2026-08-30 | 2
3.145.2.115 | LOW | GPL DNS named version attempt | US | 2026-08-26 | 2026-08-26 | 1
5.226.140.16 | LOW | GPL DNS named version attempt | GB | 2026-08-31 | 2026-08-31 | 1
5.226.140.58 | LOW | GPL DNS named version attempt | GB | 2026-09-05 | 2026-09-05 | 1
5.252.83.59 | LOW | GPL DNS named version attempt | GB | 2026-08-22 | 2026-08-22 | 1
5.252.83.217 | LOW | GPL DNS named version attempt | GB | 2026-08-28 | 2026-08-28 | 1
13.58.255.99 | LOW | GPL DNS named version attempt | US | 2026-08-31 | 2026-08-31 | 1
18.97.26.4 | LOW | GPL DNS named version attempt | US | 2026-08-12 | 2026-08-12 | 1
18.222.193.219 | LOW | GPL DNS named version attempt | US | 2026-09-01 | 2026-09-01 | 1
18.225.218.61 | LOW | GPL DNS named version attempt | US | 2026-08-22 | 2026-08-22 | 1
34.22.170.68 | LOW | GPL DNS named version attempt | BE | 2026-08-18 | 2026-08-18 | 1
34.38.5.131 | LOW | GPL DNS named version attempt | BE | 2026-08-20 | 2026-08-20 | 2
35.195.67.36 | LOW | GPL DNS named version attempt | BE | 2026-08-31 | 2026-08-31 | 1
35.195.98.157 | LOW | GPL DNS named version attempt | BE | 2026-08-14 | 2026-08-14 | 2
35.240.59.95 | LOW | GPL DNS named version attempt | BE | 2026-08-23 | 2026-08-23 | 1
45.133.173.20 | LOW | GPL DNS named version attempt | GB | 2026-08-30 | 2026-08-30 | 1
45.133.173.120 | LOW | GPL DNS named version attempt | GB | 2026-09-03 | 2026-09-03 | 1
45.133.173.188 | LOW | GPL DNS named version attempt | GB | 2026-09-02 | 2026-09-02 | 1
45.156.129.73 | LOW | GPL DNS named version attempt | US | 2026-08-17 | 2026-08-17 | 1
52.14.102.68 | LOW | GPL DNS named version attempt | US | 2026-08-14 | 2026-08-14 | 1
61.111.131.121 | LOW | GPL DNS named version attempt | KR | 2026-08-19 | 2026-08-19 | 1
61.142.44.132 | LOW | GPL DNS named version attempt | CN | 2026-08-16 | 2026-08-16 | 1
62.210.142.164 | LOW | GPL DNS named version attempt | FR | 2026-09-01 | 2026-09-01 | 1
64.62.156.27 | LOW | GPL DNS named version attempt | US | 2026-08-20 | 2026-08-20 | 1
64.62.156.63 | LOW | GPL DNS named version attempt | US | 2026-08-24 | 2026-08-24 | 1
64.62.156.111 | LOW | GPL DNS named version attempt | US | 2026-08-19 | 2026-08-19 | 1
64.62.197.115 | LOW | GPL DNS named version attempt | US | 2026-08-14 | 2026-08-14 | 1
64.62.197.139 | LOW | GPL DNS named version attempt | US | 2026-09-05 | 2026-09-05 | 1
65.49.1.10 | LOW | GPL DNS named version attempt | US | 2026-08-23 | 2026-08-23 | 1
66.132.172.128 | LOW | GPL DNS named version attempt | US | 2026-09-01 | 2026-09-01 | 1
66.132.172.142 | LOW | GPL DNS named version attempt | US | 2026-09-03 | 2026-09-03 | 1
66.132.172.143 | LOW | GPL DNS named version attempt | US | 2026-08-31 | 2026-08-31 | 1
66.132.172.199 | LOW | GPL DNS named version attempt | US | 2026-09-03 | 2026-09-03 | 1
66.132.172.200 | LOW | GPL DNS named version attempt | US | 2026-08-13 | 2026-08-13 | 1
66.132.186.191 | LOW | GPL DNS named version attempt | US | 2026-08-13 | 2026-08-13 | 1
66.132.195.42 | LOW | GPL DNS named version attempt | US | 2026-09-04 | 2026-09-04 | 1
66.132.195.64 | LOW | GPL DNS named version attempt | US | 2026-09-05 | 2026-09-05 | 1
66.132.224.79 | LOW | GPL DNS named version attempt | US | 2026-08-20 | 2026-08-20 | 1
66.132.224.226 | LOW | GPL DNS named version attempt | US | 2026-08-14 | 2026-08-14 | 1
66.132.224.231 | LOW | GPL DNS named version attempt | US | 2026-08-18 | 2026-08-18 | 1
71.6.146.185 | LOW | GPL DNS named version attempt | US | 2026-08-14 | 2026-08-14 | 1
74.235.123.72 | LOW | GPL DNS named version attempt | US | 2026-08-30 | 2026-08-30 | 1
85.217.140.28 | LOW | GPL DNS named version attempt | FR | 2026-09-03 | 2026-09-03 | 1
85.217.149.4 | LOW | GPL DNS named version attempt | CA | 2026-08-11 | 2026-08-11 | 1
85.217.149.8 | LOW | GPL DNS named version attempt | CA | 2026-08-12 | 2026-08-12 | 1
85.217.149.18 | LOW | GPL DNS named version attempt | CA | 2026-08-17 | 2026-08-17 | 1
85.217.149.31 | LOW | GPL DNS named version attempt | CA | 2026-08-26 | 2026-08-26 | 1
85.217.149.35 | LOW | GPL DNS named version attempt | CA | 2026-09-03 | 2026-09-03 | 1
85.217.149.38 | LOW | GPL DNS named version attempt | CA | 2026-09-05 | 2026-09-05 | 1
