ip,first_seen,last_seen,count,severity,signature,protocol,country
3.22.104.232,2025-07-20T05:28:58.111000+00:00,2025-07-20T05:28:58.111000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
3.138.185.30,2025-07-21T20:18:13.597000+00:00,2025-07-21T20:18:13.597000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
3.140.182.19,2025-07-19T18:42:22.009000+00:00,2025-07-23T03:22:14+00:00,2,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
8.222.216.194,2025-07-22T05:34:22.571000+00:00,2025-07-22T05:34:22.571000+00:00,1,low,"ET SCAN Mirai Variant User-Agent (Inbound)",TCP,SG
20.64.96.40,2025-07-15T00:37:11.022000+00:00,2025-07-15T00:37:11.022000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
20.84.61.38,2025-07-25T20:58:05+00:00,2025-07-25T20:58:05+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
20.163.15.167,2025-07-20T20:53:44.698000+00:00,2025-07-20T20:53:44.698000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
20.169.49.11,2025-07-20T22:38:05.054000+00:00,2025-07-20T22:38:05.054000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
40.77.167.158,2025-07-21T08:28:29.781000+00:00,2025-07-21T08:28:29.781000+00:00,1,low,"ET SCAN Bing Webcrawler User-Agent (BingBot)",TCP,US
52.167.144.17,2025-07-22T08:01:56.129000+00:00,2025-07-22T08:01:56.129000+00:00,1,low,"ET SCAN Bing Webcrawler User-Agent (BingBot)",TCP,US
52.167.144.57,2025-07-20T09:48:54.126000+00:00,2025-07-20T09:48:54.126000+00:00,1,low,"ET SCAN Bing Webcrawler User-Agent (BingBot)",TCP,US
103.141.138.121,2025-07-26T09:18:44+00:00,2025-07-26T09:18:44+00:00,1,low,"ET SCAN Laravel Debug Mode Information Disclosure Probe Inbound",TCP,VN
134.209.199.75,2025-07-14T03:40:49.073000+00:00,2025-07-14T03:40:49.073000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,NL
135.237.126.154,2025-07-20T18:37:20.397000+00:00,2025-07-20T18:37:20.397000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
138.197.81.246,2025-07-24T06:08:02+00:00,2025-07-24T06:08:02+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,US
157.66.56.183,2025-07-15T02:10:42.684000+00:00,2025-07-15T02:10:42.684000+00:00,1,low,"ET SCAN SFTP/FTP Password Exposure via sftp-config.json",TCP,ID
161.35.194.210,2025-07-22T19:49:23.959000+00:00,2025-07-22T19:49:23.959000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,DE
164.90.158.229,2025-07-12T17:01:11.842000+00:00,2025-07-12T17:01:11.842000+00:00,1,low,"ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML",TCP,
170.64.154.131,2025-07-21T05:47:54.845000+00:00,2025-07-21T05:47:54.845000+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,AU
178.62.222.132,2025-07-28T23:39:55+00:00,2025-07-28T23:39:55+00:00,1,low,"ET SCAN Zmap User-Agent (Inbound)",TCP,NL
207.46.13.150,2025-07-21T04:39:28.127000+00:00,2025-07-21T04:39:28.127000+00:00,1,low,"ET SCAN Bing Webcrawler User-Agent (BingBot)",TCP,US
207.46.13.231,2025-07-22T17:48:37.134000+00:00,2025-07-23T17:50:30+00:00,2,low,"ET SCAN Bing Webcrawler User-Agent (BingBot)",TCP,US
