# Port_Scanning Threat Feed
# Generated: 2026-09-23T07:35:34.753979+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 57
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

20.65.169.181 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-21 | 2026-09-21 | 1
20.65.170.95 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-21 | 2026-09-21 | 1
20.65.202.203 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-15 | 2026-09-15 | 1
20.83.44.186 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-07 | 2026-09-07 | 1
20.106.59.69 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-08-28 | 2026-08-28 | 1
20.118.228.102 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-22 | 2026-09-22 | 1
20.163.3.7 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-13 | 2026-09-13 | 1
20.172.68.103 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-20 | 2026-09-20 | 1
34.38.105.192 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | BE | 2026-09-21 | 2026-09-21 | 1
34.86.155.186 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | US | 2026-09-02 | 2026-09-02 | 1
40.74.210.138 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-12 | 2026-09-12 | 1
40.74.212.136 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-21 | 2026-09-21 | 1
40.74.212.176 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-20 | 2026-09-20 | 1
40.77.167.26 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-15 | 2026-09-15 | 1
40.77.167.126 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-04 | 2026-09-04 | 1
40.119.34.84 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-01 | 2026-09-01 | 1
40.119.44.46 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-08-29 | 2026-08-29 | 1
40.124.187.33 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-22 | 2026-09-22 | 1
45.33.109.18 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-01 | 2026-09-01 | 1
45.33.120.143 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-11 | 2026-09-11 | 1
45.79.8.221 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-20 | 2026-09-20 | 1
45.194.67.46 | LOW | ET SCAN Rapid IMAP Connections - Possible Brute Force Attack | SC | 2026-09-01 | 2026-09-01 | 1
45.194.67.48 | LOW | ET SCAN Rapid POP3 Connections - Possible Brute Force Attack | SC | 2026-09-06 | 2026-09-06 | 1
48.216.218.90 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-22 | 2026-09-22 | 1
52.146.11.15 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-11 | 2026-09-11 | 1
52.167.144.54 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-13 | 2026-09-13 | 1
52.167.144.64 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-08 | 2026-09-08 | 1
52.167.144.166 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-17 | 2026-09-17 | 1
52.167.144.209 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-08-24 | 2026-08-24 | 1
52.167.144.222 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-02 | 2026-09-02 | 1
52.167.144.228 | LOW | ET SCAN Bing Webcrawler User-Agent (BingBot) | US | 2026-09-09 | 2026-09-09 | 1
62.60.130.198 | LOW | ET SCAN SFTP/FTP Password Exposure via sftp-config.json | IR | 2026-09-14 | 2026-09-14 | 1
64.225.75.246 | LOW | ET SCAN LeakIX Inbound User-Agent | NL | 2026-09-01 | 2026-09-01 | 1
64.227.150.86 | LOW | ET SCAN Zmap User-Agent (Inbound) | IN | 2026-09-21 | 2026-09-21 | 1
74.249.191.144 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-20 | 2026-09-20 | 1
77.90.185.129 | LOW | ET SCAN SFTP/FTP Password Exposure via sftp-config.json | DE | 2026-09-04 | 2026-09-04 | 2
80.97.160.185 | LOW | ET SCAN Yandex Webcrawler User-Agent (YandexBot) | MD | 2026-08-28 | 2026-08-28 | 1
85.217.149.46 | LOW | ET SCAN Suspicious User-Agent Containing Web Scan/er Likely Web Scanner | CA | 2026-09-05 | 2026-09-05 | 1
85.217.149.48 | LOW | ET SCAN Suspicious User-Agent Containing Web Scan/er Likely Web Scanner | CA | 2026-09-14 | 2026-09-14 | 1
85.217.149.50 | LOW | ET SCAN Suspicious User-Agent Containing Web Scan/er Likely Web Scanner | CA | 2026-09-12 | 2026-09-12 | 1
85.217.149.65 | LOW | ET SCAN Suspicious User-Agent Containing Web Scan/er Likely Web Scanner | CA | 2026-09-12 | 2026-09-12 | 1
91.199.118.51 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | DE | 2026-09-22 | 2026-09-22 | 1
103.177.150.83 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | BD | 2026-09-22 | 2026-09-22 | 1
104.28.240.85 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | BD | 2026-09-22 | 2026-09-22 | 1
135.119.96.220 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-08-27 | 2026-08-27 | 1
139.59.42.255 | LOW | ET SCAN Zmap User-Agent (Inbound) | IN | 2026-09-05 | 2026-09-05 | 1
139.59.143.102 | LOW | ET SCAN LeakIX Inbound User-Agent | DE | 2026-09-21 | 2026-09-21 | 1
143.110.217.244 | LOW | ET SCAN LeakIX Inbound User-Agent | CA | 2026-09-20 | 2026-09-20 | 1
149.88.19.89 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | DE | 2026-08-29 | 2026-08-29 | 1
149.88.19.91 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | DE | 2026-09-05 | 2026-09-05 | 1
153.117.33.191 | LOW | ET SCAN Mirai Variant User-Agent (Inbound) | PK | 2026-09-22 | 2026-09-22 | 1
159.203.113.112 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | US | 2026-09-03 | 2026-09-03 | 1
165.227.47.218 | LOW | ET SCAN Zmap User-Agent (Inbound) | CA | 2026-09-19 | 2026-09-19 | 1
172.202.120.38 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-21 | 2026-09-21 | 1
172.208.8.36 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-18 | 2026-09-18 | 1
188.166.186.204 | LOW | ET SCAN WordPress Scanner Performing Multiple Requests to Windows Live Writer XML | SG | 2026-09-18 | 2026-09-18 | 1
204.48.29.28 | LOW | ET SCAN Zmap User-Agent (Inbound) | US | 2026-09-22 | 2026-09-22 | 1
