ip,first_seen,last_seen,count,severity,signature,protocol,country
1.196.239.91,2025-07-28T04:00:35+00:00,2025-07-28T04:00:35+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
3.134.148.59,2025-07-28T14:15:10+00:00,2025-07-28T14:15:10+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
3.149.59.26,2025-07-18T08:33:07.090000+00:00,2025-07-18T08:33:07.090000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
4.246.160.35,2025-07-12T16:17:50.445000+00:00,2025-07-12T16:34:38.250000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,
5.75.185.102,2025-07-24T11:26:46+00:00,2025-07-24T11:26:46+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,DE
5.175.234.69,2025-07-19T08:02:48.062000+00:00,2025-07-19T08:02:48.062000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
8.134.14.125,2025-07-15T20:08:06.105000+00:00,2025-07-15T20:08:06.105000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
8.209.204.134,2025-07-12T23:30:51.055000+00:00,2025-07-12T23:41:58.848000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,
8.217.230.174,2025-07-21T10:46:13.138000+00:00,2025-07-30T12:45:26+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,HK
8.219.86.58,2025-07-22T21:05:37.673000+00:00,2025-07-22T21:05:37.673000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,SG
8.222.184.109,2025-07-23T04:44:23+00:00,2025-07-23T04:44:23+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,SG
8.222.241.140,2025-07-23T20:36:07+00:00,2025-07-23T21:10:43+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,SG
14.29.64.91,2025-07-19T19:39:50.062000+00:00,2025-07-19T19:39:50.062000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
14.29.240.154,2025-07-28T19:30:51+00:00,2025-07-28T19:30:51+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
14.103.122.187,2025-07-24T13:01:04+00:00,2025-07-24T13:01:04+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
14.103.129.43,2025-07-12T09:03:25.045000+00:00,2025-07-12T09:03:25.045000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,
14.103.239.174,2025-07-25T11:02:01+00:00,2025-07-25T11:02:01+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
14.152.66.29,2025-07-18T17:21:15.619000+00:00,2025-07-18T17:21:15.619000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
14.194.76.134,2025-07-18T17:40:54.219000+00:00,2025-07-18T17:40:54.219000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,IN
20.64.113.40,2025-07-14T13:00:23.957000+00:00,2025-07-14T13:00:23.957000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
20.102.116.25,2025-07-22T18:12:05.420000+00:00,2025-07-22T18:12:05.420000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
20.127.55.146,2025-07-29T21:21:11+00:00,2025-07-29T21:21:11+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
20.174.162.182,2025-07-25T00:15:20+00:00,2025-07-27T19:46:02+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,AE
20.185.243.158,2025-07-28T17:19:58+00:00,2025-07-28T17:31:53+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,US
20.255.62.58,2025-07-18T03:31:29.096000+00:00,2025-07-18T03:31:29.096000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,HK
31.169.127.220,2025-07-19T20:05:56.606000+00:00,2025-07-19T20:05:56.606000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,DE
34.55.102.107,2025-07-28T05:49:14+00:00,2025-07-28T05:49:14+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
34.93.160.8,2025-07-22T03:54:01.146000+00:00,2025-07-22T04:18:02.699000+00:00,3,medium,"ET SCAN Potential SSH Scan",TCP,IN
35.226.27.221,2025-07-19T03:22:33.125000+00:00,2025-07-19T03:22:33.125000+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,US
36.212.31.122,2025-07-23T06:11:37+00:00,2025-07-23T06:11:37+00:00,1,medium,"ET SCAN Potential SSH Scan",TCP,CN
40.115.18.231,2025-07-19T16:35:10.975000+00:00,2025-07-19T16:49:26.089000+00:00,2,medium,"ET SCAN Potential SSH Scan",TCP,NL
