ip,first_seen,last_seen,count,severity,signature,protocol,country
45.227.254.152,2025-07-15T13:50:45.044000+00:00,2025-07-15T13:50:45.044000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,LT
45.227.254.155,2025-07-13T14:30:22.087000+00:00,2025-07-13T14:30:22.087000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,LT
45.227.254.156,2025-07-14T20:11:39.471000+00:00,2025-07-14T20:11:39.471000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,LT
88.214.25.123,2025-07-14T13:29:19.768000+00:00,2025-07-15T19:13:24.074000+00:00,3,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,HK
88.214.25.125,2025-07-13T00:37:59.977000+00:00,2025-07-13T00:37:59.977000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,
91.238.181.93,2025-07-13T15:26:08.148000+00:00,2025-07-15T14:28:33.737000+00:00,3,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,FR
141.98.11.116,2025-07-12T22:47:14.574000+00:00,2025-07-12T22:47:14.574000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,
185.156.73.154,2025-07-12T19:50:34.394000+00:00,2025-07-12T20:35:25.655000+00:00,2,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,
185.170.144.3,2025-07-12T20:03:12.345000+00:00,2025-07-12T20:03:12.345000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,
194.165.16.161,2025-07-14T14:06:39.471000+00:00,2025-07-14T14:06:39.471000+00:00,1,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,LT
194.165.16.165,2025-07-12T21:52:03.887000+00:00,2025-07-14T17:10:08.842000+00:00,2,medium,"ET SCAN MS Terminal Server Traffic on Non-standard Port",TCP,LT
