# Terminal_Server_Attack Threat Feed
# Generated: 2026-07-21T12:56:54.684006+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 16
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

3.17.72.108 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-07-05 | 2026-07-05 | 1
3.129.187.38 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-07-10 | 2026-07-10 | 1
3.130.168.2 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-24 | 2026-07-16 | 2
3.134.216.108 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-21 | 2026-06-21 | 1
3.143.162.210 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-22 | 2026-06-22 | 1
18.218.118.203 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-25 | 2026-07-14 | 4
18.220.188.237 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-28 | 2026-06-28 | 1
45.79.152.14 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-06-23 | 2026-06-23 | 1
62.164.177.54 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | NL | 2026-07-03 | 2026-07-15 | 2
66.228.42.204 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | US | 2026-07-06 | 2026-07-06 | 1
80.94.95.43 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | HU | 2026-07-08 | 2026-07-08 | 1
91.238.181.10 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | FR | 2026-07-19 | 2026-07-19 | 2
109.205.211.101 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | NL | 2026-07-19 | 2026-07-19 | 1
176.120.22.240 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | RU | 2026-07-11 | 2026-07-12 | 3
181.49.207.198 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | CO | 2026-07-01 | 2026-07-01 | 2
213.168.248.72 | MEDIUM | ET SCAN MS Terminal Server Traffic on Non-standard Port | GB | 2026-07-16 | 2026-07-16 | 1
