ip,country,region,city,isp,organization,category,severity,offense_count,first_seen,last_seen,service,policy_type,signature_id,is_targeted,is_cgnat
46.165.220.198,Germany,Hesse,Frankfurt am Main,LeaseWeb DE,Leaseweb Deutschland GmbH,Compromised_Host,Critical,2,2025-07-07 00:20:29.340861,2025-07-07 07:39:07.904504,TCP,ET_SCAN Pattern,797443,False,False
185.156.73.234,The Netherlands,North Holland,Amsterdam,OOO SibirInvest,IP Kiktev Nikolay Vladimirovich,Compromised_Host,Critical,1,2025-07-07 03:13:14.848461,2025-07-07 03:13:14.848465,TCP,ET_SCAN Pattern,169864,False,False
80.94.95.115,Hungary,Budapest,Budapest,SS-Net,Unmanaged LTD,Compromised_Host,Critical,5,2025-07-06 23:16:51.930499,2025-07-07 02:24:14.359480,Unknown,ET_SCAN Pattern,37986,False,False
194.0.234.93,United Kingdom,England,London,Skynet Network LTD,Skynet Network LTD,Compromised_Host,Critical,1,2025-07-07 01:15:26.247345,2025-07-07 01:15:26.247348,TCP,ET_SCAN Pattern,169864,False,False
195.178.110.125,Andorra,Andorra la Vella,Andorra la Vella,Techoff SRV Limited,Techoff SRV Limited,SSH_Scanning,High,1,2025-07-07 09:14:14.043458,2025-07-07 09:14:14.043461,TCP,ET_SCAN Pattern,169864,False,False
170.64.237.52,Australia,New South Wales,Sydney,DigitalOcean, LLC,DigitalOcean, LLC,SSH_Scanning,High,1,2025-07-07 08:52:00.546705,2025-07-07 08:52:00.546709,TCP,ET_SCAN Pattern,169864,False,False
41.94.88.219,Mozambique,Maputo Province,Maputo,Mozambique Research & Education Network - MoRENet,Provider,SSH_Scanning,High,5,2025-07-07 03:53:39.241377,2025-07-07 04:39:46.252336,TCP,ET_SCAN Pattern,169864,False,False
206.168.34.38,United States,Illinois,Chicago,Censys, Inc.,Censys, Inc.,DNS_Attack,Medium,1,2025-07-07 00:29:21.015677,2025-07-07 00:29:21.015681,Unknown,ET_SCAN Pattern,260321,False,False
185.220.101.36,Germany,Brandenburg,Brandenburg,Stiftung Erneuerbare Freiheit,ForPrivacyNET,Tor_Traffic,Medium,2,2025-07-07 10:10:49.204485,2025-07-07 10:11:40.597088,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
45.141.215.63,Poland,Mazovia,Warsaw,1337 Services GmbH,1337 Services GmbH,Tor_Traffic,Medium,2,2025-07-07 10:10:48.912909,2025-07-07 10:11:40.400041,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
193.189.100.205,Sweden,Stockholm County,Stockholm,KeFF Networks Ltd,KeFF Networks Ltd,Tor_Traffic,Medium,2,2025-07-07 10:10:48.719003,2025-07-07 10:11:40.204056,HTTP,UDM_Pro_Blocked_TOR,999998,False,False
