# Ethical Threat Feeds - Detailed Report
# Generated: 2025-07-07T11:28:46.280859Z
# Total Threats: 29
#
# Format: IP_ADDRESS | COUNTRY | CATEGORY | OFFENSES | LAST_SEEN
#
46.165.220.198 | Germany | Compromised_Host | 2 | 2025-07-07 07:39:07.904504
185.156.73.234 | The Netherlands | Compromised_Host | 1 | 2025-07-07 03:13:14.848465
80.94.95.115 | Hungary | Compromised_Host | 5 | 2025-07-07 02:24:14.359480
194.0.234.93 | United Kingdom | Compromised_Host | 1 | 2025-07-07 01:15:26.247348
195.178.110.125 | Andorra | SSH_Scanning | 1 | 2025-07-07 09:14:14.043461
170.64.237.52 | Australia | SSH_Scanning | 1 | 2025-07-07 08:52:00.546709
41.94.88.219 | Mozambique | SSH_Scanning | 5 | 2025-07-07 04:39:46.252336
206.168.34.38 | United States | DNS_Attack | 1 | 2025-07-07 00:29:21.015681
185.220.101.36 | Germany | Tor_Traffic | 2 | 2025-07-07 10:11:40.597088
45.141.215.63 | Poland | Tor_Traffic | 2 | 2025-07-07 10:11:40.400041
193.189.100.205 | Sweden | Tor_Traffic | 2 | 2025-07-07 10:11:40.204056
94.142.244.16 | The Netherlands | Tor_Traffic | 2 | 2025-07-07 10:11:40.003426
117.50.68.36 | China | Port_Scanning | 1 | 2025-07-07 09:44:53.328872
170.64.183.181 | Australia | Port_Scanning | 2 | 2025-07-07 08:23:00.710152
195.178.110.160 | Andorra | Port_Scanning | 2 | 2025-07-07 08:01:34.342842
143.198.77.209 | United States | Port_Scanning | 1 | 2025-07-07 06:42:04.449073
20.14.81.42 | United States | Port_Scanning | 1 | 2025-07-07 06:28:29.781959
64.176.165.127 | Israel | Port_Scanning | 1 | 2025-07-07 05:14:46.291119
14.53.61.63 | South Korea | Port_Scanning | 1 | 2025-07-07 03:36:08.592553
205.210.31.50 | United States | Port_Scanning | 1 | 2025-07-07 03:24:16.612278
193.32.162.151 | United Kingdom | Port_Scanning | 1 | 2025-07-07 02:57:58.259249
193.32.162.146 | United Kingdom | Port_Scanning | 1 | 2025-07-07 02:41:21.349476
155.138.155.23 | Canada | Port_Scanning | 1 | 2025-07-07 02:11:59.502849
136.244.116.222 | France | Port_Scanning | 1 | 2025-07-07 01:57:18.323279
20.65.193.129 | United States | Port_Scanning | 1 | 2025-07-07 01:44:41.256204
144.217.0.58 | Canada | Port_Scanning | 2 | 2025-07-07 01:00:44.598607
59.52.254.73 | China | Web_Attack | 1 | 2025-07-07 10:20:05.547385
77.83.207.193 | Russia | ET_SCAN | 4 | 2025-07-07 00:03:08.466059
85.198.11.94 | Iran | ET_SCAN | 3 | 2025-07-06 23:27:51.826441
