ip,first_seen,last_seen,count,severity,signature,protocol,country
45.83.104.137,2025-07-29T12:59:12+00:00,2025-07-29T12:59:12+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 91",TCP,DE
45.84.107.101,2025-07-24T14:07:22+00:00,2025-07-24T14:07:22+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 90",TCP,AQ
45.84.107.172,2025-07-24T13:34:16+00:00,2025-07-24T13:34:16+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 90",TCP,AQ
45.84.107.182,2025-07-25T14:20:37+00:00,2025-07-25T14:20:37+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 90",TCP,AQ
45.84.107.222,2025-07-14T07:16:04.027000+00:00,2025-07-14T07:16:04.027000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 95",TCP,AQ
45.90.185.106,2025-07-12T18:34:07.102000+00:00,2025-07-12T18:34:07.102000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 96",TCP,
45.90.185.108,2025-07-25T18:50:45+00:00,2025-07-25T18:50:45+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 92",TCP,NL
45.90.185.118,2025-07-25T14:09:26+00:00,2025-07-25T14:09:26+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 93",TCP,NL
45.141.215.88,2025-07-24T07:56:01+00:00,2025-07-24T07:56:01+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 87",TCP,PL
46.23.109.25,2025-07-25T16:21:02+00:00,2025-07-25T16:21:02+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 94",TCP,NL
83.147.17.190,2025-07-29T12:26:31+00:00,2025-07-29T12:26:31+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 106",TCP,GB
89.58.26.216,2025-07-24T13:12:16+00:00,2025-07-24T13:12:16+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 108",TCP,DE
109.70.100.3,2025-07-14T06:54:43.762000+00:00,2025-07-14T06:54:43.762000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 10",TCP,AT
109.70.100.69,2025-07-24T13:23:16+00:00,2025-07-24T13:23:16+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 8",TCP,AT
154.41.95.2,2025-07-20T19:12:38.090000+00:00,2025-07-20T19:12:38.090000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 16",TCP,FR
162.210.173.17,2025-07-12T11:15:13.150000+00:00,2025-07-12T11:15:13.150000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 17",TCP,
171.25.193.77,2025-07-12T08:21:06.498000+00:00,2025-07-12T08:21:06.498000+00:00,2,medium,"ET TOR Known Tor Exit Node Traffic group 19",TCP,
171.25.193.80,2025-07-20T19:23:17.106000+00:00,2025-07-20T19:23:17.106000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 19",TCP,SE
171.25.193.234,2025-07-29T12:48:11+00:00,2025-07-29T12:48:11+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 16",TCP,SE
176.65.149.84,2025-07-16T05:48:29.957000+00:00,2025-07-16T05:48:29.957000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 20",TCP,DE
185.220.101.48,2025-07-19T13:32:09.243000+00:00,2025-07-19T13:32:09.243000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 40",TCP,DE
185.220.101.49,2025-07-22T07:25:16.139000+00:00,2025-07-22T07:25:16.139000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 40",TCP,DE
185.244.192.175,2025-07-25T16:10:53+00:00,2025-07-25T16:10:53+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 40",TCP,DE
185.246.188.73,2025-07-28T01:56:00+00:00,2025-07-28T01:56:00+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 43",TCP,NL
185.246.188.115,2025-07-14T07:27:13.935000+00:00,2025-07-14T07:27:13.935000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 44",TCP,NL
192.42.116.178,2025-07-29T12:37:07+00:00,2025-07-29T12:37:07+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 48",TCP,NL
192.42.116.194,2025-07-14T11:53:08.658000+00:00,2025-07-14T11:53:08.658000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 52",TCP,NL
192.42.116.195,2025-07-20T19:34:09.122000+00:00,2025-07-20T19:34:09.122000+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 51",TCP,NL
192.42.116.208,2025-07-20T19:45:11.568000+00:00,2025-07-20T19:45:11.568000+00:00,1,medium,"ET TOR Known Tor Exit Node Traffic group 52",TCP,NL
192.42.116.213,2025-07-14T07:05:03.011000+00:00,2025-07-25T22:04:17+00:00,3,medium,"ET TOR Known Tor Exit Node Traffic group 53",TCP,NL
195.47.238.90,2025-07-27T23:20:30+00:00,2025-07-27T23:20:30+00:00,1,low,"ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 56",TCP,SE
