# Tor_Traffic Threat Feed
# Generated: 2026-06-16T12:12:27.755457+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 18
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

37.114.50.124 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 99 | DE | 2026-05-31 | 2026-05-31 | 1
37.114.50.142 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 95 | DE | 2026-05-18 | 2026-05-18 | 1
38.135.24.120 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 96 | US | 2026-05-19 | 2026-05-19 | 1
45.66.35.34 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 105 | NL | 2026-05-21 | 2026-05-21 | 1
104.244.73.190 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 3 | LU | 2026-05-30 | 2026-05-30 | 1
107.189.30.69 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 6 | LU | 2026-05-29 | 2026-05-29 | 1
109.71.252.97 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 11 | DE | 2026-05-28 | 2026-05-28 | 1
185.220.101.28 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 41 | DE | 2026-05-21 | 2026-05-21 | 1
185.243.218.226 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 48 | NO | 2026-05-27 | 2026-05-27 | 1
192.42.116.51 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 57 | NL | 2026-05-25 | 2026-05-25 | 1
192.42.116.55 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 57 | NL | 2026-05-24 | 2026-05-24 | 1
192.42.116.59 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 57 | NL | 2026-05-23 | 2026-05-23 | 1
192.42.116.63 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 58 | NL | 2026-05-26 | 2026-05-26 | 1
192.42.116.96 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 58 | NL | 2026-05-20 | 2026-05-20 | 1
192.42.116.98 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 59 | NL | 2026-05-20 | 2026-05-20 | 1
192.42.116.104 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 55 | NL | 2026-06-01 | 2026-06-01 | 1
192.42.116.112 | LOW | ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 53 | NL | 2026-05-20 | 2026-05-25 | 2
209.141.46.203 | MEDIUM | ET TOR Known Tor Exit Node Traffic group 69 | US | 2026-05-21 | 2026-05-21 | 1
