# Unknown Threat Feed
# Generated: 2026-09-22T02:00:50.338221+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 125
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

2.57.122.53 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 1 | NL | 2026-08-24 | 2026-08-24 | 1
2.57.122.238 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 1 | NL | 2026-08-23 | 2026-08-23 | 1
13.234.18.18 | LOW | ET WEB_SPECIFIC_APPS WordPress Plugin Gravity SMTP Unauthenticated REST API (CVE-2026-4020) | IN | 2026-09-22 | 2026-09-22 | 1
34.19.218.66 | LOW | ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability | CA | 2026-09-06 | 2026-09-06 | 1
34.22.88.40 | LOW | ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability | KR | 2026-09-05 | 2026-09-05 | 1
34.34.254.141 | LOW | GPL WEB_SERVER .htaccess access | SG | 2026-08-31 | 2026-08-31 | 1
34.40.46.88 | LOW | ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability | DE | 2026-09-04 | 2026-09-04 | 1
34.64.123.232 | LOW | ET WEB_SERVER PHP tags in HTTP POST | KR | 2026-09-15 | 2026-09-15 | 1
34.74.46.79 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | US | 2026-09-21 | 2026-09-21 | 1
34.75.98.218 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | US | 2026-08-31 | 2026-08-31 | 1
34.84.167.26 | LOW | ET WEB_SERVER Tilde in URI - potential .php~ source disclosure vulnerability | JP | 2026-09-01 | 2026-09-01 | 1
34.96.48.8 | LOW | GPL WEB_SERVER .htaccess access | SG | 2026-08-30 | 2026-08-30 | 1
34.143.188.242 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | SG | 2026-09-06 | 2026-09-06 | 1
35.196.142.94 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | US | 2026-09-03 | 2026-09-03 | 1
35.227.42.127 | LOW | ET WEB_SPECIFIC_APPS Vite Arbitrary File Read Via raw parameter (CVE-2025-30208) | US | 2026-08-27 | 2026-08-27 | 1
35.231.252.135 | LOW | ET WEB_SERVER Next.js Middleware Authorization Bypass (CVE-2025-29927) | US | 2026-08-30 | 2026-08-30 | 2
42.236.209.58 | LOW | ET EXPLOIT HackingTrio UA (Hello, World) | CN | 2026-08-29 | 2026-08-29 | 1
45.133.173.242 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 7 | GB | 2026-08-23 | 2026-08-23 | 1
45.135.193.115 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 7 | DE | 2026-08-24 | 2026-08-24 | 1
45.139.104.172 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 7 | DE | 2026-08-23 | 2026-08-23 | 1
45.148.10.5 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-26 | 2026-08-26 | 2
45.148.10.8 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-23 | 2026-08-24 | 2
45.148.10.18 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | NL | 2026-09-09 | 2026-09-09 | 1
45.148.10.30 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-23 | 2026-08-23 | 1
45.148.10.31 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-23 | 2026-08-23 | 1
45.148.10.35 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-24 | 2026-08-24 | 1
45.148.10.59 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | NL | 2026-09-22 | 2026-09-22 | 1
45.148.10.64 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-24 | 2026-08-24 | 1
45.148.10.74 | LOW | ET WEB_SPECIFIC_APPS WordPress Plugin Gravity SMTP Unauthenticated REST API (CVE-2026-4020) | NL | 2026-08-26 | 2026-09-21 | 2
45.148.10.123 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-25 | 2026-08-25 | 1
45.148.10.141 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-25 | 2026-08-25 | 1
45.148.10.194 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-24 | 2026-08-30 | 2
45.148.10.230 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 8 | NL | 2026-08-23 | 2026-08-24 | 3
51.83.97.46 | LOW | ET WEB_SPECIFIC_APPS WordPress Plugin Gravity SMTP Unauthenticated REST API (CVE-2026-4020) | FR | 2026-09-13 | 2026-09-13 | 1
52.154.5.224 | LOW | ET WEB_SERVER Likely Malicious Request for /proc/self/environ | US | 2026-08-31 | 2026-08-31 | 1
62.60.130.148 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-23 | 2026-08-23 | 1
62.60.130.198 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-24 | 2026-08-24 | 1
62.60.130.201 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-24 | 2026-08-24 | 1
62.60.130.219 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-25 | 2026-08-25 | 1
62.60.130.227 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-24 | 2026-08-24 | 1
62.60.130.253 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 9 | IR | 2026-08-24 | 2026-08-24 | 2
64.89.160.242 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 10 | LU | 2026-08-23 | 2026-08-25 | 4
64.89.163.251 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 10 | DE | 2026-08-23 | 2026-08-24 | 3
69.165.75.192 | LOW | ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt | HK | 2026-08-31 | 2026-08-31 | 1
76.13.234.238 | LOW | ET WEB_SPECIFIC_APPS React Server Components React2Shell Unsafe Flight Protocol Property Access (CVE-2025-55182) | BR | 2026-09-17 | 2026-09-17 | 1
77.90.185.78 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 11 | DE | 2026-08-24 | 2026-08-26 | 2
77.90.185.230 | LOW | ET DROP Spamhaus DROP Listed Traffic Inbound group 11 | DE | 2026-08-25 | 2026-08-25 | 1
