# Web_Attack Threat Feed
# Generated: 2026-08-10T09:27:06.593228+00:00
# Source: Ethical Threat Feeds by Devs, for Devs
# Total IPs: 12
# Expiry: 30 days rolling window
#
# Format: IP_ADDRESS | SEVERITY | SIGNATURE | COUNTRY | FIRST_SEEN | LAST_SEEN | COUNT
#

20.206.67.15 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | BR | 2026-07-27 | 2026-07-27 | 1
34.34.103.195 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | NL | 2026-07-16 | 2026-07-16 | 1
45.148.10.40 | HIGH | ET WEB_SERVER /etc/passwd Detected in URI | NL | 2026-07-19 | 2026-07-20 | 16
45.148.10.80 | HIGH | ET WEB_SERVER /etc/passwd Detected in URI | NL | 2026-07-19 | 2026-07-19 | 2
52.242.193.144 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | US | 2026-07-22 | 2026-07-23 | 3
74.249.245.134 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | US | 2026-07-22 | 2026-07-22 | 3
93.123.109.163 | HIGH | ET WEB_SERVER /etc/passwd Detected in URI | AD | 2026-07-11 | 2026-07-11 | 1
93.152.221.13 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | BG | 2026-07-16 | 2026-07-19 | 3
185.177.72.29 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | FR | 2026-07-14 | 2026-07-14 | 1
195.178.110.102 | HIGH | ET WEB_SERVER /etc/passwd Detected in URI | AD | 2026-07-17 | 2026-07-17 | 2
195.178.110.104 | HIGH | ET WEB_SERVER /etc/passwd Detected in URI | AD | 2026-07-17 | 2026-07-17 | 2
195.178.110.223 | HIGH | ET WEB_SERVER WEB-PHP phpinfo access | AD | 2026-07-21 | 2026-07-21 | 1
